INDICE,COLOR,TIPO,TEXTO,FLAVOR
28,Roja,Musica,El Alma Llanera,El canto final que anuncia el fin de toda celebración.
29,Roja,Musica,1 y 1 es igual a 3,Matemática inventada para justificar la infidelidad.
30,Roja,Musica,Llorarás,El conjuro que te hace danzar sobre tu propia tragedia.
31,Roja,Musica,"El ""Cumpleaños Feliz""","El ritual interminable de cuatro cantos y manos rotas ""¡Otra vez!"""
32,Roja,Guachafitas,"""Al fondo hay puesto""",La promesa falsa de un reino que jamás tuvo espacio.
33,Roja,Guachafitas,"Un ""bajón"" de luz justo cuando vas a guardar la tesis",Se va la luz y no habías guardado nada. Nada.
34,Roja,Personajes,La tía que te manda cadenas de Piolín por WhatsApp,Te manda 'bendiciones' en un GIF de 45 megas.
35,Roja,Guachafitas,"El ""Vuelto"" en caramelos",La dulce divisa impuesta por decreto de la bodega.
36,Roja,Guachafitas,Un chisme en el trabajo,Info que muta tres veces antes de llegar al jefe.
37,Roja,Guachafitas,Quedarse sin agua a mitad del baño,La traición del agua en el instante más vulnerable.
38,Roja,Guachafitas,"El pana que dice ""Voy saliendo""",El señor del tiempo cuyo 'ya voy' dobla las leyes del reloj.
39,Roja,Guachafitas,Juego de dominó un domingo por la tarde,"Deporte extremo con cerveza, gritos y política."
40,Roja,Guachafitas,Motorizado esperando la lluvia bajo un puente,La congregación de jinetes que detiene la autopista por lluvia.
41,Roja,Guachafitas,El olor a tierra mojada cuando empieza mayo,El perfume sagrado que anuncia la llegada del diluvio.
42,Roja,Personajes,"La ""Chola"" de tu mamá",Chancla que dobla esquinas para pegarte en la cabeza.
43,Roja,Evento,Un Caracas-Magallanes,La guerra santa que parte al país en dos bandos eternos.
44,Roja,Personajes,El señor que vende helados en la playa,El atleta legendario que cruza desiertos cargando anime.
45,Roja,Guachafitas,"""Háblame, chamo""",Las dos palabras que anuncian saludo o sentencia.
46,Roja,Objetos,Carro con los amortiguadores vencidos,El corcel roto que castiga tu espina con cada bache.
47,Roja,Guachafitas,"El ""Toque de queda"" de la abuela",A las 9pm o estás en casa o en las noticias.
48,Roja,Personajes,Lila Morillo,Sobrevivirá al fin del mundo junto a los coquitos.
49,Roja,Personajes,Er Conde del Guácharo,Te hace reír y te ofende con la misma palabra.
50,Roja,Personajes,Oscar D'León,El infatigable que le roba juventud al mismísimo tiempo.
51,Roja,Comida,Una empanada de cazón en la playa,El manjar de los dioses que hasta las moscas veneran.
52,Roja,Comida,Una empanada de queso en la playa,"Pudiendo pedir cazón, pediste queso. En serio."
53,Roja,Comida,La última papa frita del plato,"Se mira, pero no se toca sin permiso firmado."
54,Roja,Comida,Un Toddy bien frío,Cura el despecho. Dejar los grumos arriba es ley.
55,Roja,Comida,Pirulín,La ofrenda dulce que sella los pactos del corazón.
56,Roja,Objetos,Un autobús con la música a todo volumen,Discoteca con olor a gasoil y chofer piloto de F1.
57,Roja,Evento,La cola de la gasolina,"Haces amigos y replanteas tu vida a las 4am, en fila."
58,Roja,Objetos,La calor Maracucha,"Como caminar sobre el sol, pero con un cepillao."
59,Roja,Evento,Bajón de luz,Saltas a desenchufar la nevera como si fuera una bomba.
60,Roja,Guachafitas,"El ""Te lo dije"" de tu Mamá",La profecía materna que jamás falla y siempre hiere.
61,Roja,Guachafitas,"El ""Ahorita""","Puede ser en 5 minutos o, más seguro, nunca."
62,Roja,Personajes,La sifrina,Habla con una papa en la boca y se le va la luz igual.
63,Roja,Personajes,"""Malandro"" de cartón",Habla grueso hasta que truena un triquitraqui.
64,Roja,Personajes,Sugar daddy,El anciano cuyo poder infinito brota de una tarjeta dorada.
65,Roja,Personajes,La tía evangélica y chismosa,La profetisa que juzga tu alma y espía la de todos.
66,Roja,Personajes,El pana que se cree influencer,El falso ídolo que ruega monedas a su propio padre.
67,Roja,Personajes,La bendecida y afortunada,Su mayor esfuerzo es posar junto a un señor de 70.
68,Roja,Personajes,Maracucho picado,El volcán humano que erupciona groserías ancestrales.
69,Roja,Personajes,Gocho despechado,El coloso tierno que se derrumba ante un arpa y un despecho.
70,Roja,Personajes,La arrecha de barrio,La furia encarnada que defiende su lugar hasta la muerte.
71,Roja,Personajes,El sabelotodo de la familia,Opina de física cuántica con el tercer ron encima.
72,Roja,Personajes,Amigo de lo ajeno,El saqueador afable que despoja tu despensa con una sonrisa.
73,Roja,Personajes,El vecino fastidioso del condominio,Te pone la queja si haces ruido a las 8:01 pm.
74,Roja,Personajes,La que no rompe un plato,Cara de ángel; en la fiesta se toma hasta los floreros.
75,Roja,Personajes,La tóxica,La sombra que te acecha tras una máscara de cachorro en IG.
76,Roja,Personajes,El duende que te esconde las llaves,El demonio doméstico que roba y devuelve tus llaves por deporte.
77,Roja,Dichos,"""Gastar pólvora en zamuro""",La batalla perdida por un corazón que jamás será tuyo.
78,Roja,Dichos,"""Chivo que se devuelve se esnuca""",Es mejor pedir disculpas...
79,Roja,Dichos,"""Morder el peine""",La trampa perfecta en la que todo culpable confiesa.
80,Roja,Guachafitas,Sacar el culo,Esquive por defecto.
81,Roja,Objetos,"El ""rompe colchón""",Promete pasión y te garantiza tres días en el baño.
82,Roja,Objetos,La salsita de ajo sospechosa del carrito callejero,La salsa maldita que seduce aun bajo amenaza de plaga.
83,Roja,Objetos,Anís con yogurt de fresa,El brebaje satánico que roba recuerdos a cambio de placer.
84,Roja,Objetos,Una chicha con exceso de leche condensada,El néctar denso que sella el estómago y roba la tarde.
85,Roja,Objetos,Sopa de mondongo con pata de vaca,Revive a un muerto o mata a un vivo. Depende.
86,Roja,Objetos,El guayoyo amargo de oficina,El brebaje amargo que solo ofrece acidez y desvelo.
87,Roja,Objetos,Vallenato cortavenas a las 4:00 a.m.,El lamento que derrumba a los más duros al amanecer.
88,Roja,Personajes,Sandy y Papo,Despierta el baile prohibido de toda tía de 50.
89,Roja,Objetos,Reguetón viejo (2006),El himno antiguo que borra toda edad de tu memoria.
90,Roja,Objetos,La hora loca,El instante en que la elegancia cae y reina el caos.
91,Roja,Objetos,Salsa brava,Sólo una regla básica: Bailas en una sola baldosa.
92,Roja,Objetos,"El ""visto"" azul de WhatsApp",Las dos rayas azules que sentencian tu autoestima.
93,Roja,Guachafitas,Tarjeta rechazada por fondos insuficientes,El instante de máxima humillación firmado por el código 51.
94,Roja,Evento,Quedarse sin papel tualé en baño ajeno,La prueba suprema donde se inmola un calcetín por honor.
95,Roja,Evento,Ir a un motel y encontrarte un conocido,El pacto sagrado de silencio entre dos pecadores.
96,Roja,Personajes,El mecánico,¿Se te quitó o no se te quitó la falla?
97,Roja,Personajes,La reunión de condominio,El coliseo anual donde los vecinos guerrean por una gotera.
98,Roja,Personajes,"El conocido que te invita a ""ser tu propio jefe""",El falso profeta que promete millones vendiendo humo.
99,Roja,Evento,Revisar el teléfono de tu pareja mientras se baña,La expedición prohibida al abismo donde nadie sale ileso.
100,Roja,Evento,Hacerse el dormido en el autobús para no dar el puesto,Cara de coma profundo para no ceder el puesto.
101,Roja,Objetos,Un piropo de albañil con exceso de creatividad,El poema callejero que confunde el elogio con la sentencia.
102,Roja,Personajes,El pana que se vuelve insoportable con dos tragos,Dos tragos y ya quiere pelear con el mesonero.
103,Roja,Personajes,El parquero de la calle,"Aparece solo cuando arrancas, a pedir colaboración."
104,Roja,Evento,"""A la derecha ciudadano""",Sudas frío rezando por tu documento vencido.
105,Roja,Evento,Comer caraotas tres días seguidos,"Delicioso, hasta la reunión en la oficina con aire."
106,Roja,Objetos,La rumba en el estacionamiento de una licorería,"Rey del mundo con la maleta abierta, hasta la patrulla."
107,Roja,Objetos,Un tatuaje barato hecho en una sala,El león imponente quedó como gato desnutrido.
108,Roja,Objetos,Mudanza hecha en el techo de un carro pequeño,"Nevera y colchones, un solo mecate y mucha fe."
109,Roja,Objetos,La previa,El ritual previo que te embriaga antes de ir a la disco.
110,Roja,Evento,"Ya te hice la transferencia, debe estar por caer",La mentira que compra horas de paz con el cobrador.
111,Roja,Personajes,El gordito del grupo que siempre tiene calor,Suda como tapa de olla dos minutos sin aire.
112,Roja,Objetos,Un dolor de barriga repentino en plena calle,La batalla espiritual por la dignidad a mitad de la calle.
113,Roja,Evento,Ir a la playa y que llueva a los cinco minutos,La maldición celestial que hunde el viaje en cinco minutos.
114,Roja,Objetos,El último trago,A las 5am le juras a Dios que más nunca tomas.
115,Roja,Personajes,Eladio Lárez,El señor cuya mirada te juzga... '¿estás seguro?'.
116,Roja,Personajes,Valentina Quintero,"Si ella dice que un rancho es espectacular, tú vas."
117,Roja,Personajes,Osmel Sousa,Te destruye la autoestima con solo mirarte.
118,Roja,Personajes,Gilberto Correa,La voz señorial que volvía épico hasta el apocalipsis.
119,Roja,Personajes,Renny Ottolina,Al que invocan para decir que antes todo era mejor.
120,Roja,Personajes,Daniel Sarcos,Corría gritando '¡Guerra de los sexos!' abrazando señoras.
121,Roja,Personajes,Viviana Gibelli,Maestra de fingir demencia entre urnas con cucarachas.
122,Roja,Personajes,Mimí Lazo,'Hombre no es gente'
123,Roja,Personajes,Norkys Batista,La belleza cuya lengua corta más que cualquier espada.
124,Roja,Personajes,Edgar Ramírez,El elegido que ascendió del culebrón al Olimpo de Hollywood.
125,Roja,Personajes,La mujer de Judas,El aquelarre de novias millonarias que sembró el terror.
126,Roja,Personajes,Mi gorda bella,Traje de goma Michelin y juraban que no se notaba.
127,Roja,Personajes,Voltea pa' que te enamores,Convenció a las sifrinas de salir con el mototaxista.
128,Roja,Personajes,Yulimar Rojas,La titán que rompe la gravedad y celebra bailando salsa.
129,Roja,Personajes,Salomón Rondón,Su táctica: chocar contra la defensa como buseta sin frenos.
130,Roja,Personajes,Juan Arango,Tenía un pacto con el diablo en la zurda.
131,Roja,Personajes,Greivis Vásquez,Llegó a la NBA a punta de chalequeo caribeño.
132,Roja,Personajes,Bob Abreu,Tan relajado que parecía jugar en la playa con cerveza.
133,Roja,Personajes,Rubén Limardo,El caballero que cruzó el mar con su espada y volvió con oro.
134,Roja,Personajes,Pastor Maldonado,Usaba los otros carros de Fórmula 1 como freno.
135,Roja,Personajes,Simón Díaz,El bardo que con una tonada doblega el alma más dura.
136,Roja,Personajes,Emilio Lovera,Tiene secuestradas todas las voces del país.
137,Roja,Personajes,Ricardo Montaner,Vive en una secta familiar que canta y cobra regalías.
138,Roja,Personajes,Gustavo Dudamel,Espanta avispas invisibles y le dicen genio.
139,Roja,Personajes,Dayana Mendoza,Tan bella que las demás parecían las primas feas.
140,Roja,Personajes,José Luis Rodríguez,Copete indestructible y consejos espirituales en Miami.
141,Roja,Personajes,Servando y Florentino,Culpables de mil suspiros adolescentes en los 90.
142,Roja,Personajes,Winston Vallenilla,Vendió su alma por poder gritar '¡Familiaaa!'.
143,Roja,Personajes,Luis Chataing,El bufón matinal que salvaba cordura a golpe de chiste.
144,Roja,Personajes,Juan Gabriel en el Teresa Carreño,El mexicano que derritió el orgullo de mil hombres duros.
145,Roja,Personajes,Chino y Nacho,De la discoteca de Caracas a los Grammys de Miami.
146,Roja,Personajes,Reinaldo Armas,Récord nacional de borracheras musicalizadas con caña.
147,Roja,Personajes,La Vinotinto de las Eliminatorias,"Secta masoquista unida por un 'mano, tengo fe'."
148,Roja,Personajes,Leones del Caracas,Los fanáticos más insoportables del béisbol caribeño.
149,Roja,Personajes,Navegantes del Magallanes,Se visten de pavo real al ganarle a Caracas.
150,Roja,Personajes,Roque Valero,El bardo que cambió el despecho por el trono del presupuesto.
151,Roja,Personajes,Jeremías,El que reescribió las matemáticas para excusar sus traiciones.
152,Roja,Personajes,Hany Kauam,Le puso música a todos los despechos de bachillerato.
153,Roja,Personajes,Juan Guaidó,Presidente de un país que no aparece en el mapa.
154,Roja,Otros,Henrique Capriles,Colecciona derrotas con la misma gorra tricolor.
155,Roja,Personajes,Luis Aparicio,En Cooperstown mientras tú no atrapas ni en el patio.
156,Roja,Comida,La hallaca recalentada el 6 de enero,"Hasta el perro la desprecia, pero botarla es pecado."
157,Roja,Objetos,La planta eléctrica del vecino,El trueno mecánico que proclama al señor feudal del barrio.
158,Roja,Lugares,El Ávila,"Si eres de caracas y no conoces esto, no eres caraqueño."
159,Roja,Evento,El apagón nacional de marzo,"Sin luz se acabó el agua, el internet y la paciencia."
160,Roja,Dichos,"""Echarle los perros""",La cacería del corazón donde uno es la fiera insaciable.
161,Roja,Personajes,El buhonero de la avenida,El mercader que guarda un imperio entero en un trapo.
162,Roja,Guachafitas,Bajarse del carro en plena cola a buscar la causa del trancón,Camina 200 metros y descubre que era una vaca acostada.
163,Roja,Musica,La gaita zuliana sonando desde el 1° de octubre,El canto que declara diciembre aunque el sol lo niegue.
164,Roja,Espanto,La Llorona,Llora toda la noche y te quita el sueño gratis.
165,Roja,Personajes,Andrés Galarraga,Bateaba tan alto que hay pelotas todavía orbitando.
166,Roja,Comida,El pabellón criollo,La patria entera servida en un plato para devorarla.
167,Roja,Objetos,El termo de Avon,Café caliente desde 1987 y ay de quien lo bote.
168,Roja,Lugares,Sabana Grande,"El bulevar donde en un paso compras tiempo, hambre y destino."
169,Roja,Evento,La quincena que dura dos días,El breve reinado del oro que se esfuma en dos amaneceres.
170,Roja,Dichos,"""Estar pelando bola""",El vacío eterno de bolsillos entre quincena y quincena.
171,Roja,Personajes,El guachimán del edificio,"Sabe con quién llegaste, pero 'no vio nada'."
172,Roja,Guachafitas,Tener tres canaimitas en la casa y ninguna prende,'Ya no puedo jugar al lol'
173,Roja,Musica,Cardenales del Éxito,A las 7am de diciembre por ley no escrita de la abuela.
174,Roja,Espanto,La Bola de Fuego,Alma en pena o transformador explotando. Nadie sabe.
175,Roja,Personajes,Omar Vizquel,Sacaba outs con la mano pelada; el guante sobraba.
176,Roja,Comida,El asado negro de la abuela,El manjar de tinieblas cuyo secreto muere con la abuela.
177,Roja,Objetos,Las cholas,"Sirven para todo; en mano de mamá, misil de precisión."
178,Roja,Lugares,El Metro de Caracas,Sauna rodante donde hueles a la ciudad entera por un módico precio.
179,Roja,Evento,El sancocho familiar del domingo,El primo solo aparece cuando ya está servido.
180,Roja,Dichos,"""Más sabe el diablo por viejo que por diablo""",La abuela te cacha la mentira antes de terminarla.
181,Roja,Personajes,El motorizado kamikaze,El jinete suicida que reclama toda calle como su reino.
182,Roja,Guachafitas,Manejar con el brazo de afuera para que no se note que no hay aire,El que refresca su carro con la fuerza del viento y el orgullo.
183,Roja,Musica,El joropo recio,Zapatea tan fuerte que el piso pide clemencia.
184,Roja,Espanto,El Hachador del Monte,Tumba árboles toda la noche y no cae ni una rama.
185,Roja,Personajes,Pablo Sandoval,El panda guerrero que conquistó el trono con su vientre.
186,Roja,Comida,Una cachapa con queso de mano y cochino frito,Tan buena que después necesitas tres horas de siesta.
187,Roja,Objetos,El budare,Pesa más que un muerto y sobrevive a tres generaciones.
188,Roja,Lugares,El Teleférico de Caracas,Rezas al subir y otra vez al ver los precios de la cima.
189,Roja,Evento,El velorio con cerveza y dominó,"Se despide al muerto con capicúa, hielo y buena excusa."
190,Roja,Dichos,"""Camarón que se duerme se lo lleva la corriente""","Te descuidas y te quitan puesto, cambio y hasta la novia."
191,Roja,Personajes,La suegra que llega sin avisar,"Llega con una olla, una crítica y una maleta 'por si acaso'."
192,Roja,Guachafitas,Echarle agua de la batería al refresco para que rinda,"No lo hagas, pero el primo lo hizo y aún lo recuerdan."
193,Roja,Musica,Despecho llanero a todo pulmón,"Cuando el arpa llora más que tú, ya disfrutas el dolor."
194,Roja,Espanto,El Descabezado,"Anda buscando su cabeza, como medio país."
195,Roja,Personajes,David Concepción,Inventó el tiro de rebote: ingeniería criolla pura.
196,Roja,Comida,La reina pepiada,La soberana de las arepas que reina sin rival alguno.
197,Roja,Objetos,La batea de lavar,Brazos de acero a punta de jabón azul.
198,Roja,Lugares,La Isla de Margarita,Vas a relajarte y vuelves con tres cavas y cero plata.
199,Roja,Evento,La graduación con la promoción entera,Cuarenta familias y empieza dos horas tarde por el padrino.
200,Roja,Dichos,"""Echar un camión""",El embuste tan colosal que raya en obra maestra.
201,Roja,Personajes,El fiebrúo del gym,"Postea las pesas, jamás la dieta ni la comida real."
202,Roja,Guachafitas,El tío que llega a la fiesta y de una vez se mete en la cocina a opinar,"No trajo el carbón, pero sabe cuándo voltear la carne."
203,Roja,Musica,El cuatro desafinado de la fiesta,El primo lo rasguea horrible y nadie se lo quita.
204,Roja,Espanto,La Dientona,Hermosa hasta que sonríe.
205,Roja,Personajes,José Altuve,"Metro y medio, pero batea más alto que el dólar paralelo."
206,Roja,Comida,Los tequeños de la fiesta,Desaparecen antes de que llegue la mitad de la gente.
207,Roja,Objetos,El Daewoo Tico,Lata con ruedas que carga siete personas y un perro.
208,Roja,Lugares,Los Roques,El edén cuyo azul divino se paga con sangre y billete.
209,Roja,Evento,El matriarcado decidiendo el menú navideño,Tú solo rallas el queso y te callas la boca.
210,Roja,Dichos,"""Agarrar a alguien fuera de base""",El instante fatal en que el destino te sorprende sin defensa.
211,Roja,Personajes,El chamo que pide la cola,Jura que es 'aquí cerquita' y son tres municipios.
212,Roja,Guachafitas,Guardar las bolsas plásticas dentro de otra bolsa plástica,'Una bolsa para controlarlas a todas'.
213,Roja,Musica,Las parrandas decembrinas del barrio,Aparecen a las 11pm y se van con hallaca y ron encima.
214,Roja,Espanto,El Cucú,"Nadie sabe cómo es, pero viene si no te tomas la sopa."
215,Roja,Personajes,Salvador Pérez,Abraza al pícher como si fuera su última empanada.
216,Roja,Comida,El cachito de jamón recién horneado,La razón para levantarte temprano un domingo.
217,Roja,Objetos,El Malibú del 78,Gasta como avión pero jamás te deja botado.
218,Roja,Lugares,Mérida,La ciudad de bruma eterna donde el frío por fin reina.
219,Roja,Evento,Montar la gaita desde octubre,En octubre ya suena el furro y huele a hallaca.
220,Roja,Dichos,"""Hacerse la vista gorda""",El arte supremo de no ver justo lo que exige acción.
221,Roja,Personajes,La doña de la junta de condominio,Convoca asamblea por una bombilla; lleva minuta desde 2014.
222,Roja,Guachafitas,Llamar a alguien por el nombre completo,Suena tu segundo nombre y ya sabes que se puso fea.
223,Roja,Musica,Radio Rochela,Toda desgracia nacional se aguanta mejor riéndose.
224,Roja,Espanto,El Coco,Negocia tu hora de dormir con amenaza incluida.
225,Roja,Personajes,Edgardo Alfonzo,Defiende la segunda base mejor que tú tus excusas.
226,Roja,Comida,El pan canilla calientico,"Nunca llega entero, siempre llega 'pellizcao'."
227,Roja,Objetos,El Caprice clásico,Lleva 15 años bajo una sábana esperando su restauración.
228,Roja,Lugares,El Teleférico de Mérida,La ascensión al cielo que se paga con vértigo y labios morados.
229,Roja,Evento,El viacrucis para conseguir efectivo,Cuatro cajeros y no alcanza ni para el pasaje.
230,Roja,Dichos,"""Estar como anillo al dedo""",Te queda tan perfecto que parece hecho para ti.
231,Roja,Personajes,El que se cuela en la fila del banco,Llega 'buscando a un amigo' y aparece de primero.
232,Roja,Guachafitas,Ponerle nombre al carro como si fuera familia,"'La Catira' no abre dos puertas, pero es de la familia."
233,Roja,Musica,Sábado Sensacional,Cinco horas de TV y un carro que nadie de tu familia ganó.
234,Roja,Espanto,Las brujas de Catia,Las únicas que consiguen estacionamiento en Catia un viernes.
235,Roja,Personajes,Antonio Armas,Líder jonronero cuando el béisbol aún era nuestro destino.
236,Roja,Comida,Los golfeados con queso y melao,"Un infarto con anís, pero qué rico se va uno."
237,Roja,Objetos,La moto del bachaquero,El corcel de carga que transporta imperios amarrados con fe.
238,Roja,Lugares,El Salto Ángel,"Avioneta, río y tres horas de caminata. Vale cada gota."
239,Roja,Evento,La cola del banco que no avanza,"Entraste joven y saliste con barba, sin avanzar."
240,Roja,Dichos,"""Ir a pie de bola""","Sin plan, sin real y sin idea, pero con toda la actitud."
241,Roja,Personajes,El tío que arma el sancocho,El general del fogón que gobierna la olla con puño de hierro.
242,Roja,Guachafitas,El que se pone los lentes oscuros adentro del bautizo,Reza con lentes oscuros para disimular la resaca.
243,Roja,Musica,Súper Sábado Sensacional,A cinco horas de TV siempre se le puede sumar 'Súper'.
244,Roja,Espanto,El culto a María Lionza en Sorte,Spa espiritual: subes con ron y bajas con el alma limpia.
245,Roja,Personajes,Ozzie Guillén,Ganó una Serie Mundial diciendo más groserías por minuto.
246,Roja,Comida,Las mandocas zulianas,Herradura frita de maíz y papelón. Maracaibo de un mordisco.
247,Roja,Objetos,El billete de un millón de bolívares,Compró una casa; al mes no daba ni para un chicle.
248,Roja,Lugares,Coro y sus médanos,"El Sahara venezolano, pero con cocada al lado."
249,Roja,Evento,El «ya casi llego» que son dos horas,'Ya casi llego' significa que ni ha salido.
250,Roja,Dichos,"""Dejar a alguien plantado""",El abandono que deja al otro criando musgo en la esquina.
251,Roja,Guachafitas,Tapar el hueco del techo con un tobo y una ponchera,Cuando llueve suena a batería y vacías a las 3am.
252,Roja,Espanto,El Negro Felipe,"Cuando él se monta, hasta el malandro se persigna."
253,Roja,Personajes,Francisco Rodríguez 'K-Rod',Cerraba con tanto drama que tu corazón cerraba primero.
254,Roja,Comida,Los bollitos pelones con guiso,"Lo que sobró, mejor que cualquier restaurante."
255,Roja,Objetos,La cesta ticket,"Rico el día de pago, pobre el 16. Olía a esperanza."
256,Roja,Lugares,Maracaibo a mediodía,El sol no calienta: te interroga.
257,Roja,Evento,El primero de enero con la casa llena de hallacas,Sobrevives con hallaca recalentada hasta Marzo.
258,Roja,Dichos,"""Estar en la olla""","Sin trabajo, sin real y la nevera haciendo eco."
259,Roja,Personajes,El gandolero de la autopista,Mueve 18 ruedas como bicicleta y se cambia sin avisar.
260,Roja,Guachafitas,Comprar un solo cigarro y pedir el encendido prestado,"Compra al detal, fuma a crédito, sin reales pero con ganas."
261,Roja,Musica,Cásate y Verás,Parejas peleando en vivo para deleite del sofá.
262,Roja,Personajes,Félix Hernández,Lanzó un juego perfecto; nosotros ni pa' llegar temprano.
263,Roja,Comida,El hervido de gallina del domingo,Resucita muertos y cura cualquier resaca del domingo.
264,Roja,Objetos,El tobo de agua para cuando no hay,"Reserva sagrada del baño, hasta que llegan visitas."
265,Roja,Lugares,El Puente sobre el Lago de Maracaibo,"Ocho km de fe; si te quedas pegado, ya eres del Zulia."
266,Roja,Evento,Cuadrar la vuelta del transporte público,"'No tengo sencillo' de ambos lados, y pagas de más."
267,Roja,Dichos,"""No hay arroz que no se queme""",La verdad eterna: ni el maestro escapa al desastre.
268,Roja,Personajes,El pana que «te resuelve» todo,Conoce un primo de un compadre que lo vende más barato.
269,Roja,Guachafitas,El primo que «sabe» de carros y deja el tuyo peor,¿Se te quitó o no se te quitó la falla? El mismo
270,Roja,Personajes,Magglio Ordóñez,Bateaba tan elegante que parecía firmar autógrafos.
271,Roja,Comida,El sancocho de pescado a orillas del río,Fogón de leña y lo que cayó esa mañana. Ilegalmente rico.
272,Roja,Objetos,La nevera 'ejecutiva' de cervezas,La nevera vieja del porche que solo enfría polares.
273,Roja,Lugares,Galipán,Fresas con crema tras una carretera diseñada por el diablo.
274,Roja,Evento,La parranda que llega a tu casa sin avisar,Tocan con furruco y ya están adentro pidiendo ponche.
275,Roja,Dichos,"""Échale pichón""",La filosofía del esfuerzo ciego que mueve toda bomba manual.
276,Roja,Personajes,La señora que regatea hasta en el chino,Pelea un descuento por espaguetis como si fuera una casa.
277,Roja,Guachafitas,Mandar al menor de la casa a comprar a la bodega de noche,Regresa corriendo jurando que vio al Silbón en la esquina.
278,Roja,Musica,Un merengue venezolano de los 90,Letra vacía y un paso que tu tío aún saca en las bodas.
279,Roja,Espanto,El Dr. José Gregorio Hernández,Lo invocas para una cirugía y para el repuesto que no hay.
280,Roja,Comida,El chicharrón crujiente con casabe,"Cruje tan fuerte que lo oye el vecino. La presión, después."
281,Roja,Objetos,El ventilador 'recargable' chino,Promete ocho horas de brisa y dura veinte minutos.
282,Roja,Lugares,Chacao,Todo cuesta el doble y hasta el vigilante está más mamado.
283,Roja,Evento,El reencuentro de la familia en diciembre,El cónclave anual donde reaparecen parientes de otra vida.
284,Roja,Dichos,"""Buscarle la quinta pata al gato""",El arte de enredar lo fácil hasta que nadie lo resuelva.
285,Roja,Personajes,El colector de bus,"Grita la ruta entera de un respiro, colgando de la puerta."
286,Roja,Guachafitas,Calentar la comida de ayer y jurar que sabe mejor recalentada,"'El pabellón del segundo día tiene cuerpo', jura el sommelier."
287,Roja,Musica,El Trabuco salsero en el equipo de sonido,El son que convierte a cualquier borracho en cantante mayor.
288,Roja,Espanto,El Espanto de la Quebrada,Alma en pena o el vecino robando aguacates. Quién sabe.
289,Roja,Personajes,Carlos Hernández,Repartía golpes como mamá los correazos: sin avisar.
290,Roja,Comida,Una malta bien fría,Tu mamá te la daba 'porque tiene hierro'. Pide queso.
291,Roja,Objetos,El celular con la pantalla rota,Telaraña de vidrio que igual postea y te corta el dedo.
292,Roja,Lugares,Petare,"Laberinto de día, leyenda de noche. Respeto absoluto."
293,Roja,Evento,Estrenar ropa el 31 de diciembre,El rito del estreno sin el cual el año nace maldito.
294,Roja,Dichos,"""Quedarse con los crespos hechos""",Todo listo y arreglado para algo que no pasó.
295,Roja,Personajes,El profesor que cae mal a todo el salón,El tirano del aula cuyas amenazas jamás se cumplen.
296,Roja,Guachafitas,El que pide «un toquecito» de la cerveza ajena y se la baja completa,Pide 'un toquecito' y te devuelve la lata vacía sonriendo.
297,Roja,Musica,"Salsa de la dura, de la que no se baila pegado",La que el melómano pone para 'educarte' sin que la pidas.
