tipo,texto,flavor
Jerga,"Fajao'","Esforzado
Dedicado
Trabajador"
Jerga,"Rendío'","Agotado
Exhausto
Molido"
Jerga,"Trancao'","Bloqueado
Atascado
Trabado"
Jerga,"Ñoño","Aburrido
Soso
Serio"
Jerga,"Cuchi","Lindo
Bonito
Precioso"
Jerga,"Fufurufo","Elegante
Emperifollado
Producido"
Jerga,"Jodío'","Difícil
Complicado
Enredado"
Jerga,"Roñoso","Sucio
Mugroso
Cochino"
Jerga,"Guisero","Aprovechador
Ventajista
Buscón"
Jerga,"Ladillao'","Fastidiado
Hastiado
Aburrido"
Jerga,"Espabilao'","Despierto
Vivo
Listo"
Jerga,"Mojonero","Mentiroso
Liador
Labioso"
Jerga,"Achantao'","Desanimado
Decaído
Aplatanado"
Jerga,"Aplatanado","Flojo
Relajado
Acomodado"
Jerga,"Guillao'","Creído
Fantoche
Vanidoso"
Jerga,"Fantoche","Presumido
Vanidoso
Creído"
Jerga,"Vacilón","Divertido
Gracioso
Chistoso"
Jerga,"Jodedor","Bromista
Molestón
Fastidioso"
Jerga,"Sinvergüenza","Descarado
Fresco
Caradura"
Jerga,"Mamón","Fastidioso
Cansón
Latoso"
Jerga,"Rochelero","Desordenado
Alborotador
Inquieto"
Jerga,"Chalequeao'","Molestado
Burlado
Vacilado"
Jerga,"Guabinoso","Escurridizo
Resbaloso
Evasivo"
Jerga,"Amuñuñao'","Apretado
Amontonado
Apiñado"
Jerga,"Enguayabao'","Nostálgico
Deprimido
Melancólico"
Jerga,"Encaramao'","Trepado
Subido
Montado"
Jerga,"Emperrao'","Empeñado
Obstinado
Terco"
Jerga,"Chambón","Torpe
Chapucero
Descuidado"
Jerga,"Zoquete","Bruto
Torpe
Tarugo"
Jerga,"Metío'","Entrometido
Curioso
Salío'"
Jerga,"Bonchón","Fiestero
Rumbero
Parrandero"
Jerga,"Alzao'","Rebelde
Insolente
Respondón"
Jerga,"Espeso","Denso
Aburrido
Cargante"
Jerga,"Pinchao'","Ponchado
Desinflado
Reventado"
Jerga,"Descachalandrao","Desaliñado
Fachoso
Desarreglado"
Jerga,"Chorreao'","Manchado
Embarrado
Asustado"
Jerga,"Amargao'","Resentido
Agrio
Malhumorado"
Jerga,"Fresco","Descarado
Relajado
Caradura"
Jerga,"Enfogonao'","Furioso
Encendido
Molesto"
Jerga,"Apurao'","Apresurado
Acelerado
Volao"
Jerga,"Cachaciento","Lento
Parsimonioso
Pausado"
Jerga,"Bullero","Ruidoso
Escandaloso
Estridente"
Jerga,"Baboso","Empalagoso
Meloso
Zalamero"
Jerga,"Migajero","Adulador
Meloso
Lisonjero"
Jerga,"Embustero","Mentiroso
Falso
Cuentero"
Jerga,"Cuentero","Fabulador
Charlatán
Exagerado"
Jerga,"Necio","Terco
Testarudo
Obstinado"
Jerga,"Bragao'","Valiente
Aguerrido
Decidido"
Jerga,"Aguerrido","Valiente
Combativo
Fiero"
Jerga,"Nervioso","Inquieto
Ansioso
Alterado"
Jerga,"Relajao'","Tranquilo
Sereno
Suave"
Jerga,"Rabioso","Furioso
Iracundo
Colérico"
Jerga,"Empalagoso","Meloso
Dulzón
Cansón"
Jerga,"Grasoso","Aceitoso
Mantecoso
Untuoso"
Jerga,"Reseco","Árido
Seco
Deshidratado"
Jerga,"Aguao'","Insípido
Diluido
Soso"
Jerga,"Soso","Insípido
Desabrido
Simple"
Jerga,"Picante","Ardiente
Enchilado
Fuerte"
Jerga,"Baratón","Barato
Económico
De feria"
Jerga,"Costoso","Caro
Salado
Empinado"
Jerga,"Enano","Bajito
Chaparro
Pequeño"
Jerga,"Gigante","Enorme
Descomunal
Grandote"
Jerga,"Flaco","Delgado
Escuálido
Fideo"
Jerga,"Gordo","Robusto
Rechoncho
Llenito"
Jerga,"Feo","Espantoso
Horrible
Maluco"
Jerga,"Bello","Hermoso
Precioso
Divino"
Jerga,"Viejo","Anciano
Antiguo
Carroza"
Jerga,"Nuevo","Reciente
Estrenado
Flamante"
Jerga,"Pispo","Pulcro
Elegante
Arreglado"
Jerga,"Fofo","Blando
Flácido
Aguado"
Jerga,"Zampao'","Metido
Colado
Entrado"
Jerga,"Mojoso","Húmedo
Empapado
Aguado"
Jerga,"Frío","Distante
Indiferente
Seco"
Jerga,"Caliente","Bravo
Encendido
Molesto"
Jerga,"Ranchero","Corriente
Ordinario
Vulgar"
Jerga,"Zumbón","Burlón
Guasón
Bromista"
Jerga,"Cuántico","Impredecible
Fantasmal
Superpuesto"
Jerga,"Aerodinámico","Veloz
Resbaloso
Fugaz"
Jerga,"Termonuclear","Explosivo
Intenso
Devastador"
Jerga,"Biodegradable","Efímero
Perecedero
Descartable"
Jerga,"Inalámbrico","Libre
Suelto
Desconectado"
Jerga,"Retroactivo","Tardío
Vencido
Atrasado"
Jerga,"Multivitamínico","Completo
Reforzado
Nutritivo"
Jerga,"Recargable","Renovable
Reutilizable
Duradero"
Jerga,"Antártico","Congelado
Gélido
Polar"
Jerga,"Panorámico","Amplio
Extenso
Abarcador"
