texto,pose
El Puente sobre el Lago de Maracaibo,objeto
Cuadrar la vuelta del transporte público,picaro
"""No hay arroz que no se queme""",duo-conversa
El pana que «te resuelve» todo,duo-conversa
El primo que «sabe» de carros y deja el tuyo peor,duo-conversa
Magglio Ordóñez,accion
El sancocho de pescado a orillas del río,comiendo
La parranda que llega a tu casa sin avisar,duo-vacile
"""Échale pichón""",fisico
El Dr. José Gregorio Hernández,duo-espectadores
El chicharrón crujiente con casabe,comiendo
El ventilador 'recargable' chino,duo-vacile
Chacao,turista
El reencuentro de la familia en diciembre,duo-conversa
"""Buscarle la quinta pata al gato""",terco
El colector de bus,loco
Calentar la comida de ayer y jurar que sabe mejor recalentada,comiendo
El Trabuco salsero en el equipo de sonido,rumba
El Espanto de la Quebrada,duo-espanto
Carlos Hernández,accion
El celular con la pantalla rota,objeto
Petare,turista
Estrenar ropa el 31 de diciembre,presumido
El profesor que cae mal a todo el salón,fastidioso
El que pide «un toquecito» de la cerveza ajena y se la baja completa,fastidioso
"Salsa de la dura, de la que no se baila pegado",rumba
El Carretón de la Muerte,duo-espanto
Edwin Valero,accion
El papelón con limón,comiendo
Las doce uvas a la medianoche,objeto
"""Echar broma""",duo-vacile
El reguetonero del barrio,cantando
Estacionar en doble fila y dejar las luces intermitentes como pidiendo perdón,cansado
Antonio Cermeño,accion
La chicha del señor de la esquina,comiendo
El frasco de Vick VapoRub,objeto
La playa de Choroní,turista
"""Tirar la toalla""",cansado
La vecina que lo sabe todo,presumido
Bautizar como «el chinito» a cualquier abasto sin importar el dueño,objeto
Tambor barloventeño en Semana Santa,rumba
El Familiar de la hacienda,cool
Jorge Linares,accion
La pava (la gorra),loco
El Parque del Este,turista
El partido de la Vinotinto que para al país,duo-espectadores
El que cuadra el carro mal estacionado,fastidioso
El que graba el concierto entero por el teléfono y nunca lo vuelve a ver,presumido
El calipso de El Callao en Carnaval,rumba
Tomás Rincón,accion
La caída del sistema en el banco,cansado
"""Echarse fresco""",cool
El político en campaña,presentando
El coro del colegio,cantando
El Ánima de Pica-Pica,duo-espanto
Una cerveza bien fría en la playa,turista
La olla arrocera con tapa amarrada,comiendo
La autopista Regional del Centro,turista
El bautizo que se vuelve fiesta hasta las 3 a.m.,rumba
"""Comerse un cable""",cansado
El que llega tarde a todo,presumido
Pintar el frente de la casa y dejar los lados con el bloque pelado,cool
El reguetón sonando en la buseta a las 6 a.m.,rumba
José Manuel Rey,accion
El batido de parchita con leche,comiendo
La cocina de kerosén de la abuela,cool
El Cementerio (la zona),turista
La playa en Semana Santa con medio país encima,turista
"""Estar pendiente del medio""",picaro
El amigo que nunca tiene efectivo,picaro
El que se aprende el baile de TikTok pero solo lo hace en bodas,fastidioso
El Hombre Caimán,duo-espanto
Gabriel Cichero,accion
"""Pasar más hambre que maestro de escuela""",cansado
La tía que pellizca los cachetes,terco
Echarle limón a todo,asco
Rafael Dudamel,accion
La cocada del playero,cool
El cumpleaños con torta de tres leches sudada,comiendo
Un changa tuki sonando en el malandreo,rumba
Josef Martínez,accion
La jalea de mango verde,comiendo
El colador de media de café,objeto
El abasto del chino,duo-conversa
"""Hablar paja""",duo-conversa
El cuñado opinador,duo-conversa
El que llega tarde y de una se sirve como si hubiera ayudado a cocinar,fastidioso
Juan Machete,duo-espanto
Yeferson Soteldo,accion
La perinola de palo,duo-conversa
El paseo a Margarita pagado a plazos,turista
El vendedor de empanadas de la playa,objeto
Guardar el bombillo bueno y dejar prendido el malo «por si acaso»,objeto
La novela de las 9 que paralizaba el país,duo-espectadores
El Diablo de Yare,rumba
Wuilker Faríñez,accion
Los suspiros que se deshacen en la boca,comiendo
El día que sube el dólar y baja el ánimo,cansado
"""Estar como el perro de las dos tortas""",cansado
El que se queda hablando en la puerta,cool
El que cuenta el chiste y se ríe solo,loco
Topacio,duo-espectadores
Soledad Bravo,cantando
Las polvorosas que te ahogan,comiendo
La farmacia que tiene de todo menos lo que buscas,rabia
Comprar por encargo a la que «trae cosas de Miami»,duo-conversa
"""Salir con un domingo siete""",duo-espanto
La reina de belleza del pueblo,presumido
Vestirse completo de la marca pirata del mercado de Quinta Crespo,presumido
Cristal,duo-espectadores
Yordano,cantando
El papagayo de bolsa plástica,objeto
El centro comercial con aire acondicionado polar,objeto
La pichirre que cobra hasta el hielo en su fiesta,presumido
"""Pagar el pato""",picaro
El taxista filósofo,fastidioso
Tener el control remoto envuelto en una bolsa de pan,cool
Kassandra,loco
La luz que se mueve en el cementerio,duo-espanto
Franco De Vita,cantando
Una Cocosette mordida en el recreo,comiendo
"""Estar más pelado que rodilla de chivo""",cansado
El arrocero,fastidioso
El que arregla la antena moviéndose por toda la sala hasta que «se ve»,cool
Por Estas Calles,cool
El encanto de la laguna,duo-vacile
Karina,cantando
Un Toronto que te regalan el 24,comiendo
El koala (la riñonera) del bachaquero,objeto
"""Coger los corotos""",objeto
El abuelo que cuenta la misma historia,duo-conversa
Llevar el termo de tinto al estadio como si fuera oro líquido,cool
La Dama de Rosa,cansado
Yolanda Moreno,rumba
La peluquería del barrio,presumido
El parrillero del barrio un sábado en la tarde,loco
"""Echarle agua al guarapo""",cool
El que se hace el sordo cuando le toca pagar la cuenta,presumido
Ali Primera,cantando
El queso de mano recién hecho,comiendo
El tanque de agua en el techo,cool
El liceo público,fastidioso
"""Quedar como un zapato""",cool
El que vende cualquier cosa en el semáforo,objeto
Mandar audios de cinco minutos para decir «ok»,asco
El llamado «¡Bomba!» del locutor de fiesta,rumba
Gualberto Ibarreto,cantando
La nevera llena de envases de mantequilla con sobras,cool
La playa de Higuerote,turista
El abuelo que le baja el volumen a la novela para «ahorrar luz»,terco
Un seis por derecho cantado a capela,cantando
El frasco de mayonesa relleno de caraotas,comiendo
Canaima,turista
La caraota refrita del desayuno,comiendo
"""Estar en olla de grillos""",cansado
El que se mete en discusiones ajenas en Twitter,rabia
Desorden Público,rumba
Los pasteles andinos de la parada,comiendo
El corte de luz justo en el clímax de la novela,rabia
El que se baña con la lámpara del teléfono porque se fue la luz,cool
Caramelos de Cianuro,cantando
El pernil navideño,comiendo
La lata de galletas con costura,rabia
La cima del Pico Bolívar,turista
La pelea por el control remoto del béisbol,rabia
"""Más viejo que el frío""",duo-conversa
El que se baña los domingos por la mañana cantando,cantando
Decir «ya casi llego» desde la cama sin haberse levantado,picaro
El himno del equipo sonando en el estadio,accion
Nelson Arrieta,cantando
El secador de pelo usado como soplador de parrilla,cool
El que se acuesta en la grama del parque a las 6 a.m.,cool
El que le echa la culpa al perro de los ruidos en la cama,picaro
La gaita que le hicieron a la maestra del colegio,rumba
Ricardo Aguirre,cantando
La ensalada de gallina de diciembre,comiendo
El cauchito de la lavadora amarrado al portón,cool
La cola del cajero automático,rabia
El mototaxi esquivando huecos como en un videojuego,accion
"""Estar entre la espada y la pared""",duo-espanto
Un bolero a la medianoche con luz de vela,cantando
Guaco,cantando
El ponche crema casero,comiendo
La sábana de Hello Kitty del tío de 50 años,fastidioso
El kiosco de revistas y chucherías,turista
La caída de la señal del cable en pleno juego,rabia
"""Echarse el muerto""",cansado
La maestra de preescolar,fisico
El que pone la silla en la cola para «guardar el puesto» y desaparece,picaro
El joropo del acto cultural escolar,rumba
Felipe Pirela,cantando
El cooler azul con la tapa rota,objeto
El sobón que te pasa el brazo por encima en el metro,fastidioso
"""Calentar la oreja""",duo-conversa
Manejar la moto con toda la familia y el mercado encima,accion
Trino Mora,cantando
La feria del pueblo con calesita y algodón de azúcar,turista
"""Estar como caballo de coleo""",loco
El fanático del béisbol que insulta al televisor,duo-espectadores
El que se sabe la letra del himno cambiada por groserías desde el liceo,fastidioso
Corina Smith,cantando
Una empanada de carne mechada en la playa,comiendo
La plancha de hierro fundido,objeto
El estadio Universitario,duo-espectadores
El primer aguacero que inunda toda la calle,cansado
"""Meter la pata hasta el fondo""",cansado
El que arregla todo con alambre y teipe,fastidioso
Echarse perfume encima en vez de bañarse cuando se va el agua,cool
Lasso,cantando
El sándwich de mortadela del recreo,comiendo
El radio de pilas que solo agarra una emisora,objeto
La cola del peaje,asco
La visita médica de la tía que llega con remedios caseros,cansado
"""Sacarle el cuerpo""",asco
La doña que vende dulces criollos en la ventana de su casa,comiendo
El que pide la cuenta «dividida» y empieza a sacar la calculadora del impuesto,presumido
El cañonazo de fin de año en la radio,rumba
Micro TDH,cantando
"El domingo de misa, almuerzo y siesta sagrada",cool
"""Tener un Guayabo""",cansado
El pana que se duerme en toda fiesta,cool
"Usar la franela vieja como trapo, pijama y luego de gala según la ocasión",picaro
Un tema de Yordano para llorar con elegancia,cantando
Big Soto,cantando
La tizana en el cumpleaños,comiendo
La bicicleta 'cross' sin frenos,accion
El centro comercial Sambil,turista
La rifa del trabajo que nunca entrega el premio,picaro
"""Echar leña al fuego""",picaro
El que maneja con una mano y come con la otra,accion
El que pregunta «¿y eso qué es?» en el menú y termina pidiendo lo de siempre,presumido
Danny Ocean,cantando
El pollo en brasa del domingo,comiendo
El abrigo que solo se usa una vez al año en Mérida,cool
El profesor que llega tarde pero igual pasa lista,fastidioso
Tener una matica sembrada en una lata de leche Klim oxidada,objeto
La franela de la promoción que ya no te queda,cool
El barrio 23 de Enero,turista
La cola para sacar el pasaporte que parece interminable,cansado
"""Hacerle el feo a la comida""",asco
El que se duerme en la película y jura que «solo cerró los ojos un ratico»,cool
Ruddy Rodríguez,presentando
El perico para el desayuno,comiendo
El pana que pide la cola y termina manejando él,fastidioso
"""Llevarse a alguien por delante""",accion
La señora que reza el rosario en el autobús,objeto
Llevar la nevera de anime a la playa más llena de cervezas que de hielo,cool
Coraima Torres,presentando
El casabe con suero,comiendo
La cartera de tu mamá que tiene de todo,presumido
El Saladillo de Maracaibo,turista
"""Estar en el aire""",cool
El que arregla los lentes rotos con teipe y sigue su vida normal,cool
El llavero con quince llaves de puertas que ya no existen,cool
La carretera vieja Caracas-La Guaira,picaro
"""Echar un cuento""",cool
El pana que se ofrece a ayudar en la mudanza y desaparece,cool
Anunciar que vas a dejar de tomar todos los lunes del año,fastidioso
Lupita Ferrer,presentando
Los chicharrones de la carretera,comiendo
El espejo retrovisor amarrado con alambre,cool
El abasto que fía,fastidioso
La cena navideña que empieza a la 1 a.m.,comiendo
"""Quedarse en el sitio""",cansado
Jean Carlo Simancas,presentando
Una arepa 'pelúa' rebosada,comiendo
La cornetica del Polar Ice en la cava de playa,cool
El regateo en el mercado municipal,cool
"""Ponerse las pilas""",cool
La cajera del supermercado que pide cambio,cool
Carlos Mata,presentando
El ventilador de techo que tiembla,objeto
El ambulatorio del barrio,objeto
El motorizado que te entrega el pedido frío,accion
"""Estar más perdido que cochino en feria""",cansado
El que llega de Estados Unidos hablando medio inglés,presumido
El cuaderno Caribe forrado con plástico transparente,cool
La parada de los 'piratas',accion
Andar en pelotas,presumido
Lavar el baño,asco
Bañarse con totumita,rabia
Llorar en la ducha,cool
Mentir en el currículum,fastidioso
Espiar a la ex en redes,picaro
Fingir una llamada para escapar,picaro
Dejar en visto,picaro
Cantar en el carro,cantando
Comerse el último pedazo y negarlo,fastidioso
Bailar solo en la sala,presentando
Hablar mal del jefe en el baño,cool
Prometer la dieta el lunes,cool
Stalkear al crush,picaro
Ghostear a alguien,picaro
Postear la vida perfecta que no tienes,presumido
Aceptar términos sin leerlos,cool
Dormirse en misa,cansado
Reírse en el momento inoportuno,duo-vacile
"Contestar ""jajaja"" sin reírte",picaro
Cancelar planes para quedarte en cama,picaro
Buscar tu nombre en Google,presumido
Devorar la nevera a medianoche,picaro
Escribir un tweet y borrarlo,picaro
Fingir que ya casi terminas el trabajo,picaro
Reciclar la excusa de siempre,picaro
Fingir que sabes de vinos,presumido
Aplaudir cuando aterriza el avión,asco
Guardar cables que ya no sirven,objeto
Discutir con desconocidos en internet,rabia
Comprar cosas en oferta que no necesitas,objeto
Fingir demencia cuando toca pagar,picaro
"Ver ""un solo capítulo"" y terminar la temporada",cool
Sacar la basura en pijama,cool
Hacerte el dormido para no responder,picaro
El insomnio a las 3 a.m.,cansado
Prometer que vas al gym mañana,picaro
Tomarte cien fotos para subir una,presumido
Escuchar el mismo audio cinco veces,terco
Fingir que el wifi se cayó,picaro
Poner la alarma y no levantarte,cool
Comer parado frente a la nevera,picaro
"Guardar el vaso ""para después""",fastidioso
Contar un chiste que nadie entiende,fastidioso
Perder horas escogiendo qué ver,cool
Ensayar la pelea en la ducha,cool
Prometer secreto y contarlo de una,picaro
Fingir que trabajas cuando pasa el jefe,picaro
Comprar libros que nunca leerás,objeto
Llorar con propaganda de seguros,cansado
Mi autoestima,fastidioso
Mi cuenta bancaria,fastidioso
Mi vida amorosa,fastidioso
Mis decisiones a las 3 a.m.,fastidioso
Mi fuerza de voluntad,fastidioso
Mi paciencia en el tráfico,fastidioso
Mi cuerpo después de los 30,fastidioso
Mis notas de bachillerato,fastidioso
Mi memoria para pagar deudas,fastidioso
Mi historial de búsqueda,picaro
Mis amigos,fastidioso
Mi ex,fastidioso
Mi paz mental,fastidioso
Mi dieta,fastidioso
Mi productividad los lunes,fastidioso
Mis planes de fin de semana,fastidioso
Mi relación con el dinero,cool
Mi capacidad de ahorro,cool
Mi vida social,fastidioso
Mi paciencia con la familia en diciembre,loco
Mi salud mental en época de exámenes,cool
Mi orgullo,cool
Mi grupo de WhatsApp familiar,cool
Mis ganas de trabajar el viernes,cool
Mi sentido de la orientación,cool
Simón Bolívar,presentando
Elon Musk,presentando
Ibai Llanos,presentando
Cleopatra,presentando
Albert Einstein,presentando
Shakira,cantando
Bad Bunny,cantando
Taylor Swift,cantando
La NASA,presentando
Napoleón,presentando
Steve Jobs,presentando
Mark Zuckerberg,presentando
Bill Gates,presentando
Michael Jackson,cantando
Freddie Mercury,cantando
Beethoven,cantando
Leonardo da Vinci,presentando
Gandhi,presentando
Nikola Tesla,presentando
Marie Curie,presentando
Che Guevara,presentando
Diego Maradona,accion
Pelé,accion
Muhammad Ali,accion
Mr. Beast,presentando
La Roca,presentando
Kim Kardashian,presentando
Donald Trump,presentando
Barack Obama,presentando
Michael Jordan,accion
LeBron James,accion
Serena Williams,accion
Snoop Dogg,cantando
Rihanna,cantando
Beyoncé,cantando
Drake,cantando
Speed,fisico
Neymar,accion
Julio Iglesias,cantando
Los Beatles,cantando
El grupo del trabajo a las 11 p.m.,fastidioso
La videollamada donde nadie prende la cámara,cool
"El ""te leí pero no contesté""",cool
Buscar el control que tienes en la mano,duo-vacile
El cargador que solo funciona en cierto ángulo,objeto
La contraseña que olvidaste al segundo,cool
La actualización que dañó lo que servía,cool
"El ""cargando..."" eterno",cool
Aceptar las galletas para que se calle la página,terco
El corrector que cambia la palabra por otra peor,terco
"Los mil tabs abiertos ""por si acaso""",fastidioso
El wifi del café que no carga nada,cool
"El ""escribiendo..."" que aparece y desaparece",loco
La foto grupal donde todos salen mal menos uno,presumido
"El pago que ""está procesando"" desde ayer",fastidioso
Explicarle el meme a quien no lo entendió,asco
Un mensaje para tu crush totalmente ignorado,cool
La compra impulsiva a las 2 a.m.,cool
La llamada de número desconocido,asco
El GPS que te manda por la peor ruta,duo-espanto
Perder el hilo de por qué abriste el teléfono,terco
El grupo de estudio que solo manda memes,picaro
"El botón de ""comprar ahora""",picaro
La notificación en pleno cine,presumido
La ONU,loco
Google,fastidioso
Amazon,fastidioso
TikTok,fastidioso
La Torre Eiffel,turista
Hollywood,turista
El Vaticano,turista
Silicon Valley,turista
La Gran Muralla China,turista
El Coliseo Romano,turista
Coca-Cola,presentando
Disney,presentando
El Titanic,objeto
Un pingüino con corbata,presentando
El infinito más uno,cool
Un aguacate en crisis existencial,cool
El vacío legal,cool
La quinta dimensión,duo-conversa
Un ornitorrinco,objeto
El botón que no hace nada,cool
La media que se perdió en la lavadora,picaro
Un unicornio con resaca,cool
La gravedad,fisico
El silencio incómodo del ascensor,cool
Un cactus emocional,cool
Una piñata rencorosa,rabia
Un semáforo daltónico,duo-vacile
El mosquito invisible de la madrugada,rabia
El lunes a las 7 a.m.,cansado
La resaca,cansado
La cuenta de la luz,cansado
El último día de vacaciones,cansado
La suegra,picaro
El despertador,loco
La báscula,fastidioso
El sueldo,cool
La fila del banco,asco
El tráfico,asco
La cita con el dentista,cansado
"El ""mira tenemos que hablar""",cool
El domingo por la noche,cansado
La reunión familiar con preguntas incómodas,asco
El vecino que taladra un domingo,rabia
La cuenta compartida en el restaurante,picaro
La entrevista de trabajo,picaro
La lista de propósitos de año nuevo,cool
La primera cana,cool
La foto del pasaporte,fastidioso
El cumpleaños número 30,cool
"El ""¿y para cuándo los hijos?""",picaro
Fingir sorpresa en tu fiesta sorpresa,picaro
Reírte de tu chiste antes de contarlo,fastidioso
Prometer llegar temprano y llegar de último,fastidioso
"Guardar el pantalón ""para cuando adelgace""",cool
Ver tutoriales y no hacer nada,cool
Limpiar y terminar viendo fotos viejas,objeto
Comprar plantas y verlas morir,objeto
Prometer que esta vez sí ahorras,fastidioso
Contestar el examen a punta de fe,fastidioso
"Escribir ""confirmado"" y no ir",fastidioso
"Reenviar la cadena ""por si acaso""",fastidioso
Comer sano en público y chatarra en casa,comiendo
Buscar tus síntomas en internet,cool
Prometer no comprar nada y salir con tres bolsas,fastidioso
Devolver el carrito del súper... o no,cool
Fingir que entiendes el chiste en otro idioma,fastidioso
Empezar mil series y no terminar ninguna,cool
Poner excusas para no salir de casa,picaro
Jurar que mañana empiezas de cero,fastidioso
Julio César,presentando
Sócrates,presentando
William Shakespeare,presentando
Charles Darwin,presentando
Isaac Newton,presentando
Mozart,cantando
Vincent van Gogh,presentando
Marilyn Monroe,presentando
Elvis Presley,cantando
Stephen Hawking,presentando
Walt Disney,presentando
Coco Chanel,presentando
Usain Bolt,accion
Tom Cruise,presentando
Leonardo DiCaprio,presentando
Morgan Freeman,presentando
Gordon Ramsay,presentando
Bob Esponja,presentando
Batman,presentando
Superman,presentando
Spider-Man,presentando
Darth Vader,presentando
Yoda,presentando
Mickey Mouse,presentando
Barbie,presentando
Winnie Pooh,presentando
El primer beso,presumido
La friendzone,cool
El crush que ni sabe que existes,cool
La cita a ciegas,cool
"El ""quedamos como amigos""",cool
El currículum sin experiencia,picaro
El primer sueldo,objeto
La mudanza,objeto
El grupo de padres del colegio,duo-vacile
El chequeo médico anual,objeto
La reunión de exalumnos,duo-vacile
La declaración de impuestos,picaro
"El ""¿ya tienes novio?""",picaro
La primera arruga,cool
El compañero de trabajo que no hace nada,terco
La cola para renovar la cédula,cool
El descuento que te hace comprar de más,fastidioso
El aire acondicionado de la oficina,duo-conversa
La reunión de los viernes a las 5,duo-conversa
El pan que cae con la mantequilla hacia abajo,cansado
El espejo mentiroso del probador,cansado
El cable que se enreda solo en el bolsillo,duo-espanto
La impresora que falla cuando urge,duo-espanto
El domingo lluvioso sin planes,objeto
El wifi que llega hasta la mitad del cuarto,objeto
La verdad incómoda del grupo,duo-conversa
La memoria de corto plazo,duo-conversa
El mosquito que reaparece al apagar la luz,rabia
